other-empty	Main_Page	external	198889740
Soekarno–Hatta_Airport_Skytrain	InJourney_Airports	link	12
other-internal	Main_Page	external	11130817
Soekarno–Hatta_Airport_Skytrain	Soekarno–Hatta_International_Airport_Terminal_3	link	12
other-search	2026_FIFA_World_Cup	external	10829781
Soekarno–Hatta_International_Airport	Ethiopian_Airlines	link	12
other-empty	Hyphen-minus	external	8393808
Soekarno–Hatta_International_Airport	Low-cost_carrier_terminal	link	12
other-search	.xxx	external	4291759
Soekarno–Hatta_International_Airport	Muscat_International_Airport	link	12
other-search	Obsession_(2025_film)	external	4257277
Soekarno–Hatta_International_Airport	Umrah	link	12
other-external	.xyz	external	4223082
Soemarno_Sosroatmodjo	Henk_Ngantung	link	12
other-search	Oliver_Tree	external	3831949
Soemu_Toyoda	Order_of_the_Sacred_Treasure	link	12
other-empty	2026_FIFA_World_Cup	external	3729700
Soemu_Toyoda	Ryūnosuke_Kusaka	other	12
other-search	FIFA_World_Cup	external	3555660
Soen	Death_(metal_band)	link	12
other-search	Cape_Verde	external	2852298
Soerjadi_Soedirdja	Wiyogo_Atmodarminto	link	12
other-search	Jalen_Brunson	external	2823347
Soest,_Netherlands	Soest,_Germany	link	12
other-search	Backrooms_(film)	external	2525601
Soesterberg_Air_Base	United_States_Air_Forces_in_Europe_–_Air_Forces_Africa	link	12
other-search	List_of_FIFA_World_Cup_top_goalscorers	external	2480658
Soetardjo_Kartohadikusumo	Supreme_Advisory_Council	link	12
other-search	Lionel_Messi	external	2452666
Soevereinstadion	KFC_Lommel_SK	link	12
other-search	FIFA_Men's_World_Ranking	external	2414333
Soevereinstadion	Lommel	link	12
other-search	List_of_FIFA_World_Cup_finals	external	2354440
Sofa_bed	Leonard_C._Bailey	link	12
other-search	Disclosure_Day	external	2271343
Sofala,_New_South_Wales	Sofala_(Drysdale)	link	12
other-search	Cristiano_Ronaldo	external	2151130
Sofala_Province	Marromeu_District	link	12
other-empty	Neatsville,_Kentucky	external	2044741
Soffit	Main_Page	other	12
other-search	Daveigh_Chase	external	2033209
Sofi_Tsedaka	Samaritan_Pentateuch	link	12
other-search	Erling_Haaland	external	2020542
Sofia	Balkans	link	12
other-search	Curaçao	external	1924303
Sofia	Burgas	link	12
other-search	Andy_Burnham	external	1873200
Sofia	Byzantine_Empire	link	12
other-search	Murder_of_Austin_Metcalf	external	1872417
Sofia	Government_of_Bulgaria	link	12
other-empty	ChatGPT	external	1863774
Sofia	Krasna_Polyana	link	12
other-search	Murder_of_Henry_Nowak	external	1801473
Sofia	Sarajevo	link	12
other-search	Murder_of_Reagan_Simmons-Hancock	external	1706237
Sofia	Tel_Aviv	link	12
other-search	Kylian_Mbappé	external	1683043
Sofia	Urban_area	link	12
other-search	Zion_Suzuki	external	1666433
Sofia	Vitosha_Metro_Station	link	12
other-empty	Deaths_in_2026	external	1551686
Sofia_(Clairo_song)	Sleeper_hit	link	12
other-search	Peddi	external	1532047
Sofia_Airport	Aeroput	link	12
other-search	Amelia_Dimoldenberg	external	1515709
Sofia_Airport	AirBaltic	link	12
other-search	Masters_of_the_Universe_(2026_film)	external	1442191
Sofia_Airport	El_Al	link	12
other-search	Geeta_and_Sanjay_Chopra_kidnapping_case	external	1430850
Sofia_Airport	Heathrow_Airport	link	12
other-search	Victor_Wembanyama	external	1427345
Sofia_Airport	ITA_Airways	link	12
other-empty	Limonene	external	1425376
Sofia_Airport	Lamezia_Terme_International_Airport	link	12
other-search	Main_Page	external	1385691
Sofia_Andres	Secondary_school	link	12
FIFA_World_Cup	2026_FIFA_World_Cup	link	1379818
Sofia_Andrukhovych	Yurii_Andrukhovych	link	12
other-search	Toy_Story_5	external	1364079
Sofia_Barclay	Defending_the_Guilty	link	12
other-search	2026_FIFA_World_Cup_knockout_stage	external	1351351
Sofia_Black-D'Elia	Main_Page	other	12
other-search	Widow's_Bay	external	1347535
Sofia_Boutella	Charlize_Theron	link	12
other-search	Folarin_Balogun	external	1344805
Sofia_Boutella	Confessions_Tour	link	12
other-search	Anthony_Head	external	1338618
Sofia_Boutella	This_Is_It_(concert_residency)	link	12
other-search	I_Will_Find_You_(miniseries)	external	1331150
Sofia_Camara	List_of_Universal_Music_Group_labels	link	12
other-search	Supergirl_(2026_film)	external	1318181
Sofia_Cantore	Italy_women's_national_football_team	link	12
other-search	Michael_Jackson	external	1296051
Sofia_Carson	A_Cinderella_Story	link	12
other-search	Lamine_Yamal	external	1244199
Sofia_Carson_discography	Descendants_(franchise)	link	12
other-search	OG_Anunoby	external	1234226
Sofia_Central_Station	Istanbul-Sofia_Express	link	12
other-search	Blast_(2026_film)	external	1207329
Sofia_Coppola	City_Girl_(song)	link	12
other-search	XXX_(film_series)	external	1169236
Sofia_Coppola	Faerie_Tale_Theatre	link	12
Main_Page	Deaths_in_2026	link	1149610
Sofia_Coppola	Femininity	link	12
other-search	Michael_(2026_film)	external	1147203
Sofia_Coppola	James_Woods	link	12
other-search	Killing_of_Rachel_Nickell	external	1128001
Sofia_Kenin	2019_WTA_Finals_–_Singles	link	12
other-search	2030_FIFA_World_Cup	external	1110558
Sofia_Kenin	French_Open	link	12
other-search	YouTube	external	1086867
Sofia_Kenin	Junior_Davis_Cup_and_Junior_Billie_Jean_King_Cup	link	12
other-empty	Ansel_Adams	external	1051035
Sofia_Kenin_career_statistics	2025_Dubai_Tennis_Championships_–_Women's_singles	link	12
other-search	Zlatan_Ibrahimović	external	1030632
Sofia_Kenin_career_statistics	Garbiñe_Muguruza	link	12
other-search	Off_Campus	external	1010550
Sofia_Lebedeva	Londongrad_(TV_series)	link	12
other-search	Juneteenth	external	978570
Sofia_Mechetner	Halakha	link	12
other-search	Teach_You_a_Lesson	external	949525
Sofia_Metro	Inter_Expo_Center_–_Tsarigradsko_shose_Metro_Station	link	12
other-search	2026_Iran_war	external	940802
Sofia_Metro	Knyaginya_Maria_Luiza_Metro_Station	link	12
other-search	New_York_Knicks	external	940396
